Unnamed: 0,anime_id,episodes,genre,members,name,rating,type
0.0,32281,1,"Drama, Romance, School, Supernatural",200630.0,Kimi no Na wa ,9.37,Movie
1.0,5114,64,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",793665.0,Fullmetal Alchemist Brotherhood,9.26,TV
2.0,28977,51,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",114262.0,Gintama ,9.25,TV
3.0,9253,24,"Sci-Fi, Thriller",673572.0,Steins Gate,9.17,TV
4.0,9969,51,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",151266.0,Gintama 039 ,9.16,TV
5.0,32935,10,"Comedy, Drama, School, Shounen, Sports",93351.0,Haikyuu Karasuno Koukou VS Shiratorizawa Gakuen Koukou,9.15,TV
6.0,11061,148,"Action, Adventure, Shounen, Super Power",425855.0,Hunter x Hunter 2011 ,9.13,TV
7.0,820,110,"Drama, Military, Sci-Fi, Space",80679.0,Ginga Eiyuu Densetsu,9.11,OVA
8.0,15335,1,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",72534.0,Gintama Movie Kanketsu hen Yorozuya yo Eien Nare,9.1,Movie
9.0,15417,13,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",81109.0,Gintama 039 Enchousen,9.11,TV
10.0,4181,24,"Drama, Fantasy, Romance, Slice of Life, Supernatural",456749.0,Clannad After Story,9.06,TV
11.0,28851,1,"Drama, School, Shounen",102733.0,Koe no Katachi,9.05,Movie
12.0,918,201,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",336376.0,Gintama,9.04,TV
13.0,2904,25,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",572888.0,Code Geass Hangyaku no Lelouch R2,8.98,TV
14.0,28891,25,"Comedy, Drama, School, Shounen, Sports",179342.0,Haikyuu Second Season,8.93,TV
15.0,199,1,"Adventure, Drama, Supernatural",466254.0,Sen to Chihiro no Kamikakushi,8.93,Movie
16.0,23273,22,"Drama, Music, Romance, School, Shounen",416397.0,Shigatsu wa Kimi no Uso,8.92,TV
17.0,24701,10,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",75894.0,Mushishi Zoku Shou 2nd Season,8.88,TV
18.0,12355,1,"Fantasy, Slice of Life",226193.0,Ookami Kodomo no Ame to Yuki,8.84,Movie
19.0,1575,25,"Action, Mecha, Military, School, Sci-Fi, Super Power",715151.0,Code Geass Hangyaku no Lelouch,8.83,TV
20.0,263,75,"Comedy, Drama, Shounen, Sports",157670.0,Hajime no Ippo,8.83,TV
21.0,44,4,"Action, Drama, Historical, Martial Arts, Romance, Samurai",129307.0,Rurouni Kenshin Meiji Kenkaku Romantan Tsuioku hen,8.83,OVA
22.0,1,26,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",486824.0,Cowboy Bebop,8.82,TV
23.0,30276,12,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",552458.0,One Punch Man,8.82,TV
24.0,164,1,"Action, Adventure, Fantasy",339556.0,Mononoke Hime,8.81,Movie
25.0,7311,1,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",240297.0,Suzumiya Haruhi no Shoushitsu,8.81,Movie
